market,symbol,name,asset_type
CN,sh.000001,上证指数,index
CN,sz.399001,深证成指,index
CN,sz.399006,创业板指,index
CN,sh.000300,沪深300,index
CN,sz.399975,中证全指证券公司指数,index
CN,sh.000016,上证50,index
CN,sh.000905,中证500,index
CN,sh.000852,中证1000,index
CN,sh.600519,贵州茅台,stock
CN,sh.601318,中国平安,stock
CN,sh.600036,招商银行,stock
CN,sh.601398,工商银行,stock
CN,sz.000858,五粮液,stock
CN,sh.600938,中国海油,stock
CN,sh.600030,中信证券,stock
CN,sh.600900,长江电力,stock
CN,sh.601088,中国神华,stock
CN,sz.300750,宁德时代,stock
CN,sz.000333,美的集团,stock
CN,sh.601899,紫金矿业,stock
CN,sh.688981,中芯国际,stock
